SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-07 10:03:17.809455,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-34
1,DC:A6:32:33:B0:BC,2020-07-07 10:03:18.042417,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
2,DC:A6:32:33:B0:BC,2020-07-07 10:03:20.012627,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-35
3,DC:A6:32:33:B0:BC,2020-07-07 10:03:21.903560,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
4,DC:A6:32:33:B0:BC,2020-07-07 10:03:22.144579,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
5,DC:A6:32:33:B0:BC,2020-07-07 10:03:23.282985,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-34
6,DC:A6:32:33:B0:BC,2020-07-07 10:03:24.389269,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
7,DC:A6:32:33:B0:BC,2020-07-07 10:03:25.168030,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-28
8,DC:A6:32:33:B0:BC,2020-07-07 10:03:26.304295,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
9,DC:A6:32:33:B0:BC,2020-07-07 10:03:27.049289,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
10,DC:A6:32:33:B0:BC,2020-07-07 10:03:28.410575,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-34
11,DC:A6:32:33:B0:BC,2020-07-07 10:03:29.363078,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
12,DC:A6:32:33:B0:BC,2020-07-07 10:03:30.050600,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
13,DC:A6:32:33:B0:BC,2020-07-07 10:03:32.055685,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-34
14,DC:A6:32:33:B0:BC,2020-07-07 10:03:33.158194,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
15,DC:A6:32:33:B0:BC,2020-07-07 10:03:34.265055,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
16,DC:A6:32:33:B0:BC,2020-07-07 10:03:35.680744,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
17,DC:A6:32:33:B0:BC,2020-07-07 10:03:37.102006,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-27
