SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-07 09:58:08.298362,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
1,DC:A6:32:33:B0:BC,2020-07-07 09:58:09.583928,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-28
2,DC:A6:32:33:B0:BC,2020-07-07 09:58:10.144708,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
3,DC:A6:32:33:B0:BC,2020-07-07 09:58:11.113445,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-28
4,DC:A6:32:33:B0:BC,2020-07-07 09:58:12.365745,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
5,DC:A6:32:33:B0:BC,2020-07-07 09:58:13.078501,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-25
6,DC:A6:32:33:B0:BC,2020-07-07 09:58:14.006008,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-22
7,DC:A6:32:33:B0:BC,2020-07-07 09:58:15.081656,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
8,DC:A6:32:33:B0:BC,2020-07-07 09:58:16.189206,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-32
9,DC:A6:32:33:B0:BC,2020-07-07 09:58:17.565955,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-28
10,DC:A6:32:33:B0:BC,2020-07-07 09:58:18.478332,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-29
11,DC:A6:32:33:B0:BC,2020-07-07 09:58:20.144298,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
12,DC:A6:32:33:B0:BC,2020-07-07 09:58:21.153660,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
13,DC:A6:32:33:B0:BC,2020-07-07 09:58:23.159426,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-34
14,DC:A6:32:33:B0:BC,2020-07-07 09:58:24.153085,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-32
15,DC:A6:32:33:B0:BC,2020-07-07 09:58:26.157608,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
16,DC:A6:32:33:B0:BC,2020-07-07 09:58:27.764430,3de7b5ba-c059-11ea-8bf2-dca63233b0bb,1,1,1,-31
