SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-11 10:20:48.328202,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
1,DC:A6:32:33:B0:BC,2020-07-11 10:20:49.156657,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-28
2,DC:A6:32:33:B0:BC,2020-07-11 10:20:51.161682,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
3,DC:A6:32:33:B0:BC,2020-07-11 10:20:52.924143,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
4,DC:A6:32:33:B0:BC,2020-07-11 10:20:53.117175,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
5,DC:A6:32:33:B0:BC,2020-07-11 10:20:54.940442,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
6,DC:A6:32:33:B0:BC,2020-07-11 10:20:55.098491,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-34
7,DC:A6:32:33:B0:BC,2020-07-11 10:20:57.104260,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
8,DC:A6:32:33:B0:BC,2020-07-11 10:20:58.081742,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
9,DC:A6:32:33:B0:BC,2020-07-11 10:20:59.439275,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
10,DC:A6:32:33:B0:BC,2020-07-11 10:21:00.140497,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-35
11,DC:A6:32:33:B0:BC,2020-07-11 10:21:01.072392,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
12,DC:A6:32:33:B0:BC,2020-07-11 10:21:02.156868,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-28
13,DC:A6:32:33:B0:BC,2020-07-11 10:21:04.161896,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-29
14,DC:A6:32:33:B0:BC,2020-07-11 10:21:05.581877,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
15,DC:A6:32:33:B0:BC,2020-07-11 10:21:06.021860,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
16,DC:A6:32:33:B0:BC,2020-07-11 10:21:07.878190,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-25
17,DC:A6:32:33:B0:BC,2020-07-11 10:21:08.149426,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
18,DC:A6:32:33:B0:BC,2020-07-11 10:21:09.517571,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
19,DC:A6:32:33:B0:BC,2020-07-11 10:21:10.051893,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
20,DC:A6:32:33:B0:BC,2020-07-11 10:21:12.056983,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
21,DC:A6:32:33:B0:BC,2020-07-11 10:21:13.158308,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-27
22,DC:A6:32:33:B0:BC,2020-07-11 10:21:14.172028,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-31
