SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-11 10:38:57.256741,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
1,DC:A6:32:33:B0:BC,2020-07-11 10:38:58.173722,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
2,DC:A6:32:33:B0:BC,2020-07-11 10:38:59.064988,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
3,DC:A6:32:33:B0:BC,2020-07-11 10:39:00.162436,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
4,DC:A6:32:33:B0:BC,2020-07-11 10:39:02.168137,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
5,DC:A6:32:33:B0:BC,2020-07-11 10:39:03.998127,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-51
6,DC:A6:32:33:B0:BC,2020-07-11 10:39:04.101812,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-52
7,DC:A6:32:33:B0:BC,2020-07-11 10:39:05.665663,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
8,DC:A6:32:33:B0:BC,2020-07-11 10:39:06.486919,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-50
9,DC:A6:32:33:B0:BC,2020-07-11 10:39:07.447859,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
10,DC:A6:32:33:B0:BC,2020-07-11 10:39:09.453233,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
11,DC:A6:32:33:B0:BC,2020-07-11 10:39:10.248159,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
12,DC:A6:32:33:B0:BC,2020-07-11 10:39:11.686942,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-51
13,DC:A6:32:33:B0:BC,2020-07-11 10:39:12.352893,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
14,DC:A6:32:33:B0:BC,2020-07-11 10:39:13.275769,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-51
15,DC:A6:32:33:B0:BC,2020-07-11 10:39:14.380055,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-51
16,DC:A6:32:33:B0:BC,2020-07-11 10:39:15.003083,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
17,DC:A6:32:33:B0:BC,2020-07-11 10:39:17.008198,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
18,DC:A6:32:33:B0:BC,2020-07-11 10:39:18.207005,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-54
19,DC:A6:32:33:B0:BC,2020-07-11 10:39:19.497027,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
20,DC:A6:32:33:B0:BC,2020-07-11 10:39:21.503317,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
21,DC:A6:32:33:B0:BC,2020-07-11 10:39:22.828335,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
22,DC:A6:32:33:B0:BC,2020-07-11 10:39:23.077023,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
23,DC:A6:32:33:B0:BC,2020-07-11 10:39:24.278938,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
24,DC:A6:32:33:B0:BC,2020-07-11 10:39:25.040074,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-52
25,DC:A6:32:33:B0:BC,2020-07-11 10:39:26.478960,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
26,DC:A6:32:33:B0:BC,2020-07-11 10:39:28.484630,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
27,DC:A6:32:33:B0:BC,2020-07-11 10:39:30.337143,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
28,DC:A6:32:33:B0:BC,2020-07-11 10:39:31.011939,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
29,DC:A6:32:33:B0:BC,2020-07-11 10:39:32.262140,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
30,DC:A6:32:33:B0:BC,2020-07-11 10:39:33.058417,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
31,DC:A6:32:33:B0:BC,2020-07-11 10:39:34.135869,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
32,DC:A6:32:33:B0:BC,2020-07-11 10:39:36.140910,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
33,DC:A6:32:33:B0:BC,2020-07-11 10:39:37.727336,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
34,DC:A6:32:33:B0:BC,2020-07-11 10:39:38.070275,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
35,DC:A6:32:33:B0:BC,2020-07-11 10:39:39.055841,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
36,DC:A6:32:33:B0:BC,2020-07-11 10:39:40.419710,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
37,DC:A6:32:33:B0:BC,2020-07-11 10:39:42.424421,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
38,DC:A6:32:33:B0:BC,2020-07-11 10:39:43.277210,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
39,DC:A6:32:33:B0:BC,2020-07-11 10:39:44.223523,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
40,DC:A6:32:33:B0:BC,2020-07-11 10:39:45.253515,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
41,DC:A6:32:33:B0:BC,2020-07-11 10:39:47.258462,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
42,DC:A6:32:33:B0:BC,2020-07-11 10:39:48.031007,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
43,DC:A6:32:33:B0:BC,2020-07-11 10:39:50.036119,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-52
44,DC:A6:32:33:B0:BC,2020-07-11 10:39:51.367282,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
45,DC:A6:32:33:B0:BC,2020-07-11 10:39:52.114755,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
46,DC:A6:32:33:B0:BC,2020-07-11 10:39:54.004780,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
47,DC:A6:32:33:B0:BC,2020-07-11 10:39:55.843542,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
48,DC:A6:32:33:B0:BC,2020-07-11 10:39:56.028996,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
49,DC:A6:32:33:B0:BC,2020-07-11 10:39:58.033163,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
50,DC:A6:32:33:B0:BC,2020-07-11 10:39:59.173571,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-59
51,DC:A6:32:33:B0:BC,2020-07-11 10:40:00.346250,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-59
52,DC:A6:32:33:B0:BC,2020-07-11 10:40:02.351332,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
53,DC:A6:32:33:B0:BC,2020-07-11 10:40:03.086786,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
54,DC:A6:32:33:B0:BC,2020-07-11 10:40:04.183619,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
55,DC:A6:32:33:B0:BC,2020-07-11 10:40:05.287340,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
56,DC:A6:32:33:B0:BC,2020-07-11 10:40:07.292416,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
57,DC:A6:32:33:B0:BC,2020-07-11 10:40:09.042446,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
58,DC:A6:32:33:B0:BC,2020-07-11 10:40:10.508688,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
59,DC:A6:32:33:B0:BC,2020-07-11 10:40:12.442174,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
60,DC:A6:32:33:B0:BC,2020-07-11 10:40:13.261238,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
61,DC:A6:32:33:B0:BC,2020-07-11 10:40:14.158708,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
62,DC:A6:32:33:B0:BC,2020-07-11 10:40:15.464954,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
63,DC:A6:32:33:B0:BC,2020-07-11 10:40:16.050849,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
64,DC:A6:32:33:B0:BC,2020-07-11 10:40:17.113772,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
65,DC:A6:32:33:B0:BC,2020-07-11 10:40:19.036333,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
66,DC:A6:32:33:B0:BC,2020-07-11 10:40:20.135042,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-55
67,DC:A6:32:33:B0:BC,2020-07-11 10:40:22.139472,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
68,DC:A6:32:33:B0:BC,2020-07-11 10:40:23.107605,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
69,DC:A6:32:33:B0:BC,2020-07-11 10:40:25.112624,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
70,DC:A6:32:33:B0:BC,2020-07-11 10:40:27.117599,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
71,DC:A6:32:33:B0:BC,2020-07-11 10:40:29.122667,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
72,DC:A6:32:33:B0:BC,2020-07-11 10:40:30.590704,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
73,DC:A6:32:33:B0:BC,2020-07-11 10:40:31.147609,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
74,DC:A6:32:33:B0:BC,2020-07-11 10:40:32.907681,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-52
75,DC:A6:32:33:B0:BC,2020-07-11 10:40:33.014952,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-56
76,DC:A6:32:33:B0:BC,2020-07-11 10:40:35.020161,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
77,DC:A6:32:33:B0:BC,2020-07-11 10:40:37.025202,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
78,DC:A6:32:33:B0:BC,2020-07-11 10:40:39.029605,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
79,DC:A6:32:33:B0:BC,2020-07-11 10:40:40.556550,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
80,DC:A6:32:33:B0:BC,2020-07-11 10:40:41.063863,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
81,DC:A6:32:33:B0:BC,2020-07-11 10:40:42.155206,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
82,DC:A6:32:33:B0:BC,2020-07-11 10:40:43.635280,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
83,DC:A6:32:33:B0:BC,2020-07-11 10:40:44.718952,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
84,DC:A6:32:33:B0:BC,2020-07-11 10:40:46.462809,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
85,DC:A6:32:33:B0:BC,2020-07-11 10:40:47.014532,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
86,DC:A6:32:33:B0:BC,2020-07-11 10:40:48.709075,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-58
87,DC:A6:32:33:B0:BC,2020-07-11 10:40:49.089010,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
88,DC:A6:32:33:B0:BC,2020-07-11 10:40:50.174080,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
89,DC:A6:32:33:B0:BC,2020-07-11 10:40:52.179133,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-57
90,DC:A6:32:33:B0:BC,2020-07-11 10:40:53.170987,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
91,DC:A6:32:33:B0:BC,2020-07-11 10:40:54.257218,c3e0373c-c383-11ea-af2e-dca63233b0bb,1,1,1,-53
