SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-11 10:24:35.561153,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-38
1,DC:A6:32:33:B0:BC,2020-07-11 10:24:36.601962,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-39
2,DC:A6:32:33:B0:BC,2020-07-11 10:24:37.145711,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-44
3,DC:A6:32:33:B0:BC,2020-07-11 10:24:39.150751,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-45
4,DC:A6:32:33:B0:BC,2020-07-11 10:24:41.155797,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-35
5,DC:A6:32:33:B0:BC,2020-07-11 10:24:43.160835,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-42
6,DC:A6:32:33:B0:BC,2020-07-11 10:24:44.260792,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-45
7,DC:A6:32:33:B0:BC,2020-07-11 10:24:46.265883,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-45
8,DC:A6:32:33:B0:BC,2020-07-11 10:24:47.022017,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-36
9,DC:A6:32:33:B0:BC,2020-07-11 10:24:48.044629,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-46
10,DC:A6:32:33:B0:BC,2020-07-11 10:24:49.487155,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-36
11,DC:A6:32:33:B0:BC,2020-07-11 10:24:50.220867,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-36
12,DC:A6:32:33:B0:BC,2020-07-11 10:24:52.225998,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-36
13,DC:A6:32:33:B0:BC,2020-07-11 10:24:53.092203,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-37
14,DC:A6:32:33:B0:BC,2020-07-11 10:24:54.086634,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-46
15,DC:A6:32:33:B0:BC,2020-07-11 10:24:55.012213,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-46
16,DC:A6:32:33:B0:BC,2020-07-11 10:24:56.111094,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-37
17,DC:A6:32:33:B0:BC,2020-07-11 10:24:57.211045,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-36
18,DC:A6:32:33:B0:BC,2020-07-11 10:24:59.214842,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-39
19,DC:A6:32:33:B0:BC,2020-07-11 10:25:00.062240,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-45
20,DC:A6:32:33:B0:BC,2020-07-11 10:25:01.616156,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-47
21,DC:A6:32:33:B0:BC,2020-07-11 10:25:02.602389,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-36
22,DC:A6:32:33:B0:BC,2020-07-11 10:25:03.519907,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-45
23,DC:A6:32:33:B0:BC,2020-07-11 10:25:05.136302,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-45
24,DC:A6:32:33:B0:BC,2020-07-11 10:25:07.011107,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-32
25,DC:A6:32:33:B0:BC,2020-07-11 10:25:09.016332,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-45
26,DC:A6:32:33:B0:BC,2020-07-11 10:25:10.003787,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-37
27,DC:A6:32:33:B0:BC,2020-07-11 10:25:11.686952,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-46
28,DC:A6:32:33:B0:BC,2020-07-11 10:25:12.086366,6fecfb26-c381-11ea-bfb9-dca63233b0bb,1,1,1,-37
