SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:BC,2020-07-23 10:21:40.078177,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
1,DC:A6:32:33:B0:BC,2020-07-23 10:21:42.082639,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-52
2,DC:A6:32:33:B0:BC,2020-07-23 10:21:43.058852,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
3,DC:A6:32:33:B0:BC,2020-07-23 10:21:44.028876,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
4,DC:A6:32:33:B0:BC,2020-07-23 10:21:46.033341,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
5,DC:A6:32:33:B0:BC,2020-07-23 10:21:47.671483,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
6,DC:A6:32:33:B0:BC,2020-07-23 10:21:49.043398,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
7,DC:A6:32:33:B0:BC,2020-07-23 10:21:50.659114,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
8,DC:A6:32:33:B0:BC,2020-07-23 10:21:51.179116,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
9,DC:A6:32:33:B0:BC,2020-07-23 10:21:52.032889,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
10,DC:A6:32:33:B0:BC,2020-07-23 10:21:53.094815,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
11,DC:A6:32:33:B0:BC,2020-07-23 10:21:54.107962,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
12,DC:A6:32:33:B0:BC,2020-07-23 10:21:55.024848,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
13,DC:A6:32:33:B0:BC,2020-07-23 10:21:56.100636,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-58
14,DC:A6:32:33:B0:BC,2020-07-23 10:21:58.105687,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
15,DC:A6:32:33:B0:BC,2020-07-23 10:22:00.110877,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
16,DC:A6:32:33:B0:BC,2020-07-23 10:22:02.115856,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
17,DC:A6:32:33:B0:BC,2020-07-23 10:22:04.120956,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
18,DC:A6:32:33:B0:BC,2020-07-23 10:22:05.609650,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
19,DC:A6:32:33:B0:BC,2020-07-23 10:22:06.132157,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
20,DC:A6:32:33:B0:BC,2020-07-23 10:22:08.136665,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
21,DC:A6:32:33:B0:BC,2020-07-23 10:22:10.142782,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
22,DC:A6:32:33:B0:BC,2020-07-23 10:22:11.732427,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
23,DC:A6:32:33:B0:BC,2020-07-23 10:22:12.273580,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
24,DC:A6:32:33:B0:BC,2020-07-23 10:22:13.491259,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
25,DC:A6:32:33:B0:BC,2020-07-23 10:22:15.400046,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
26,DC:A6:32:33:B0:BC,2020-07-23 10:22:16.488842,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
27,DC:A6:32:33:B0:BC,2020-07-23 10:22:18.493942,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
28,DC:A6:32:33:B0:BC,2020-07-23 10:22:20.499019,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
29,DC:A6:32:33:B0:BC,2020-07-23 10:22:22.195914,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
30,DC:A6:32:33:B0:BC,2020-07-23 10:22:23.834169,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
31,DC:A6:32:33:B0:BC,2020-07-23 10:22:24.054107,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
32,DC:A6:32:33:B0:BC,2020-07-23 10:22:26.004282,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
33,DC:A6:32:33:B0:BC,2020-07-23 10:22:28.009329,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
34,DC:A6:32:33:B0:BC,2020-07-23 10:22:30.014398,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
35,DC:A6:32:33:B0:BC,2020-07-23 10:22:32.019461,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
36,DC:A6:32:33:B0:BC,2020-07-23 10:22:34.024509,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
37,DC:A6:32:33:B0:BC,2020-07-23 10:22:36.029649,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
38,DC:A6:32:33:B0:BC,2020-07-23 10:22:38.034704,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
39,DC:A6:32:33:B0:BC,2020-07-23 10:22:40.039774,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
40,DC:A6:32:33:B0:BC,2020-07-23 10:22:41.196681,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
41,DC:A6:32:33:B0:BC,2020-07-23 10:22:43.202452,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
42,DC:A6:32:33:B0:BC,2020-07-23 10:22:44.102397,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
43,DC:A6:32:33:B0:BC,2020-07-23 10:22:45.279639,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
44,DC:A6:32:33:B0:BC,2020-07-23 10:22:47.285059,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
45,DC:A6:32:33:B0:BC,2020-07-23 10:22:48.538828,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
46,DC:A6:32:33:B0:BC,2020-07-23 10:22:50.543921,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
47,DC:A6:32:33:B0:BC,2020-07-23 10:22:51.505196,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
48,DC:A6:32:33:B0:BC,2020-07-23 10:22:52.060167,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
49,DC:A6:32:33:B0:BC,2020-07-23 10:22:54.065320,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-57
50,DC:A6:32:33:B0:BC,2020-07-23 10:22:55.080343,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
51,DC:A6:32:33:B0:BC,2020-07-23 10:22:56.120390,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
52,DC:A6:32:33:B0:BC,2020-07-23 10:22:58.030446,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
53,DC:A6:32:33:B0:BC,2020-07-23 10:22:59.662973,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
54,DC:A6:32:33:B0:BC,2020-07-23 10:23:01.669375,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
55,DC:A6:32:33:B0:BC,2020-07-23 10:23:02.161840,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
56,DC:A6:32:33:B0:BC,2020-07-23 10:23:03.195626,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
57,DC:A6:32:33:B0:BC,2020-07-23 10:23:05.201001,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
58,DC:A6:32:33:B0:BC,2020-07-23 10:23:07.205803,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
59,DC:A6:32:33:B0:BC,2020-07-23 10:23:08.362175,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
60,DC:A6:32:33:B0:BC,2020-07-23 10:23:09.243986,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
61,DC:A6:32:33:B0:BC,2020-07-23 10:23:10.804688,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
62,DC:A6:32:33:B0:BC,2020-07-23 10:23:11.037795,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
63,DC:A6:32:33:B0:BC,2020-07-23 10:23:12.981087,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
64,DC:A6:32:33:B0:BC,2020-07-23 10:23:13.007630,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
65,DC:A6:32:33:B0:BC,2020-07-23 10:23:14.412041,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
66,DC:A6:32:33:B0:BC,2020-07-23 10:23:15.152208,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
67,DC:A6:32:33:B0:BC,2020-07-23 10:23:16.581258,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
68,DC:A6:32:33:B0:BC,2020-07-23 10:23:17.123694,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
69,DC:A6:32:33:B0:BC,2020-07-23 10:23:19.032549,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-53
70,DC:A6:32:33:B0:BC,2020-07-23 10:23:20.042553,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
71,DC:A6:32:33:B0:BC,2020-07-23 10:23:21.678888,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
72,DC:A6:32:33:B0:BC,2020-07-23 10:23:22.292659,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
73,DC:A6:32:33:B0:BC,2020-07-23 10:23:24.297777,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
74,DC:A6:32:33:B0:BC,2020-07-23 10:23:25.005236,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-77
75,DC:A6:32:33:B0:BC,2020-07-23 10:23:27.010363,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
76,DC:A6:32:33:B0:BC,2020-07-23 10:23:28.474109,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
77,DC:A6:32:33:B0:BC,2020-07-23 10:23:29.626679,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
78,DC:A6:32:33:B0:BC,2020-07-23 10:23:30.315188,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
79,DC:A6:32:33:B0:BC,2020-07-23 10:23:31.806756,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
80,DC:A6:32:33:B0:BC,2020-07-23 10:23:32.076125,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
81,DC:A6:32:33:B0:BC,2020-07-23 10:23:33.056866,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
82,DC:A6:32:33:B0:BC,2020-07-23 10:23:34.251273,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
83,DC:A6:32:33:B0:BC,2020-07-23 10:23:36.256941,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-55
84,DC:A6:32:33:B0:BC,2020-07-23 10:23:37.173202,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
85,DC:A6:32:33:B0:BC,2020-07-23 10:23:38.539530,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-56
86,DC:A6:32:33:B0:BC,2020-07-23 10:23:39.092057,ad567886-ccee-11ea-a86d-dca63233b0bb,1,1,1,-54
